id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
arrow-0001,arrows,箭头与流程块,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,90,stage-arrow-1,1,33,37.5,21.0,0.0,2,previews/arrow-0001.png,,stage|arrow|1|识别2|knight可编辑复刻.pptx
arrow-0002,arrows,箭头与流程块,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,65,Right Arrow 64,1,33,21.6,14.4,0.0,4,previews/arrow-0002.png,,right|arrow|64|rebuilt|slide|01.pptx
arrow-0003,arrows,箭头与流程块,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,85,stage-flow-heading-bg,1,52,165.0,72.0,0.0,1,previews/arrow-0003.png,,stage|flow|heading|bg|识别2|knight可编辑复刻.pptx
arrow-0004,arrows,箭头与流程块,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,66,stage-chevron-2,1,52,295.5,83.25,0.0,1,previews/arrow-0004.png,,stage|chevron|2|识别3|knight可编辑复刻.pptx
arrow-0005,arrows,箭头与流程块,native_editable,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,43,transition_arrow,1,36,78.75,26.25,0.0,1,previews/arrow-0005.png,,transition|arrow|李佳1|快速可编辑复刻.pptx
arrow-0006,arrows,箭头与流程块,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,179,Right Arrow 178,1,33,23.76,7.92,0.0,3,previews/arrow-0006.png,,right|arrow|178|rebuilt|slide|01.pptx
arrow-0007,arrows,箭头与流程块,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,85,Right Arrow 84,1,33,38.88,25.2,0.0,1,previews/arrow-0007.png,,right|arrow|84|rebuilt|slide|01.pptx
arrow-0008,arrows,箭头与流程块,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,61,stage-chevron-1,1,52,284.25,83.25,0.0,1,previews/arrow-0008.png,,stage|chevron|1|识别3|knight可编辑复刻.pptx
arrow-0009,arrows,箭头与流程块,native_editable,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,45,Down Arrow 44,1,36,16.077,16.077,0.0,1,previews/arrow-0009.png,,down|arrow|44|rebuilt|slide|02.pptx
arrow-0010,arrows,箭头与流程块,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,71,stage-chevron-3,1,52,297.75,83.25,0.0,1,previews/arrow-0010.png,,stage|chevron|3|识别3|knight可编辑复刻.pptx
arrow-0011,arrows,箭头与流程块,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,76,stage-chevron-4,1,52,287.25,83.25,0.0,1,previews/arrow-0011.png,,stage|chevron|4|识别3|knight可编辑复刻.pptx
arrow-0012,arrows,箭头与流程块,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,69,Right Arrow 68,1,33,21.6,14.4,0.0,1,previews/arrow-0012.png,,right|arrow|68|rebuilt|slide|01.pptx
background-0001,backgrounds,背景,native_editable,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,2,Rectangle 1,1,1,960.0,540.287,0.0,1,previews/background-0001.png,assets/png/background-0001.png,rectangle|1|rebuilt|slide|02.pptx
background-0002,backgrounds,背景,picture,party-semantic-editable.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\semantic-rebuild-v9\party-semantic-editable.pptx,1,2,Image 0,13,1,960.0,540.0,0.0,1,previews/background-0002.png,assets/png/background-0002.png,image|0|preencoded.png|party|semantic|editable.pptx
badge-0001,badges,徽章与标签,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,3,5,fast3_tab_3_0,1,5,84.0,37.5,0.0,2,previews/badge-0001.png,,fast3|tab|3|0|七页原图批量可编辑复刻.pptx
badge-0002,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,119,Rectangle 118,1,1,33.84,39.6,0.0,1,previews/badge-0002.png,,rectangle|118|rebuilt|slide|01.pptx
badge-0003,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,105,Rectangle 104,1,1,28.8,39.6,0.0,1,previews/badge-0003.png,,rectangle|104|rebuilt|slide|01.pptx
badge-0004,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,99,Rectangle 98,1,1,26.64,25.2,0.0,1,previews/badge-0004.png,,rectangle|98|rebuilt|slide|01.pptx
badge-0005,badges,徽章与标签,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,2,23,fast2_tab_2_3,1,1,48.75,38.25,0.0,1,previews/badge-0005.png,,fast2|tab|2|3|七页原图批量可编辑复刻.pptx
badge-0006,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,121,Rectangle 120,1,1,28.8,39.6,0.0,2,previews/badge-0006.png,,rectangle|120|rebuilt|slide|01.pptx
badge-0007,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,101,Rectangle 100,1,1,30.96,25.2,0.0,1,previews/badge-0007.png,,rectangle|100|rebuilt|slide|01.pptx
badge-0008,badges,徽章与标签,native_editable,七页原图批量可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\sources-batch\七页原图批量可编辑复刻.pptx,3,7,fast3_tab_3_1,1,5,84.0,37.5,0.0,1,previews/badge-0008.png,,fast3|tab|3|1|七页原图批量可编辑复刻.pptx
badge-0009,badges,徽章与标签,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,2,top-left-blue-tab,1,1,38.25,54.0,0.0,1,previews/badge-0009.png,,top|left|blue|tab|识别3|knight可编辑复刻.pptx
badge-0010,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,111,Rectangle 110,1,1,54.0,39.6,0.0,1,previews/badge-0010.png,,rectangle|110|rebuilt|slide|01.pptx
badge-0011,badges,徽章与标签,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,85,root_warning_icon,1,5,39.0,31.5,0.0,1,previews/badge-0011.png,,root|warning|icon|李佳3|视觉ocr快速可编辑复刻.pptx
badge-0012,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,127,Rectangle 126,1,1,54.0,39.6,0.0,2,previews/badge-0012.png,,rectangle|126|rebuilt|slide|01.pptx
badge-0013,badges,徽章与标签,native_editable,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,135,Rectangle 134,1,1,33.84,39.6,0.0,2,previews/badge-0013.png,,rectangle|134|rebuilt|slide|01.pptx
badge-0014,badges,徽章与标签,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,62,stage-icon-ring-1,1,9,59.25,59.25,0.0,2,previews/badge-0014.png,,stage|icon|ring|1|识别3|knight可编辑复刻.pptx
badge-0015,badges,徽章与标签,native_editable,李佳3_视觉OCR快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳3-fast-vision\李佳3_视觉OCR快速可编辑复刻.pptx,1,88,result_badge,1,5,84.0,37.5,0.0,2,previews/badge-0015.png,,result|badge|李佳3|视觉ocr快速可编辑复刻.pptx
